Path,Category,Referenced by active script,Referenced by manuscript,Referenced by supplement,Referenced by manifest,Required for regeneration,Unique provenance value,Final action,Reason
.gitattributes,configuration,Yes,No,No,Yes,Yes,No,retain,referenced by active code; required for regeneration or validation
.gitignore,configuration,Yes,No,No,Yes,Yes,No,retain,referenced by active code; required for regeneration or validation
.here,configuration,Yes,No,No,Yes,Yes,No,retain,referenced by active code; required for regeneration or validation
.Rprofile,configuration,Yes,No,No,Yes,Yes,No,retain,referenced by active code; required for regeneration or validation
analysis_fire_optimizer_refinement_dev/provenance/sessionInfo.txt,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_fire_optimizer_refinement_dev/tables/baseline_10km_fit_diagnostics.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_fire_optimizer_refinement_dev/tables/baseline_10km_pairwise_differences.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_fire_optimizer_refinement_dev/tables/baseline_10km_profile_contrasts.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_fire_optimizer_refinement_dev/tables/baseline_10km_reproduction_check.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_fire_optimizer_refinement_dev/tables/fire_10km_optimizer_diagnostics.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_fire_optimizer_refinement_dev/tables/fire_10km_optimizer_pairwise_differences.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_fire_optimizer_refinement_dev/tables/fire_10km_optimizer_parameter_comparison.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_fire_optimizer_refinement_dev/tables/fire_10km_optimizer_profile_contrasts.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_fire_optimizer_refinement_dev/tables/fire_10km_optimizer_retained_fits.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/logs/diagnose_agriculture_canonical_nlminb_default.txt,authoritative analytical output,No,No,No,Yes,Yes,Yes,retain,required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/logs/diagnose_agriculture_canonical_nlminb_strict.txt,authoritative analytical output,No,No,No,Yes,Yes,Yes,retain,required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/logs/diagnose_agriculture_canonical_optim_bfgs.txt,authoritative analytical output,No,No,No,Yes,Yes,Yes,retain,required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/logs/diagnose_deforestation_canonical_nlminb_default.txt,authoritative analytical output,No,No,No,Yes,Yes,Yes,retain,required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/logs/diagnose_deforestation_canonical_nlminb_strict.txt,authoritative analytical output,No,No,No,Yes,Yes,Yes,retain,required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/logs/diagnose_deforestation_canonical_optim_bfgs.txt,authoritative analytical output,No,No,No,Yes,Yes,Yes,retain,required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/logs/diagnose_fire_canonical_nlminb_default.txt,authoritative analytical output,No,No,No,Yes,Yes,Yes,retain,required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/logs/diagnose_fire_canonical_nlminb_strict.txt,authoritative analytical output,No,No,No,Yes,Yes,Yes,retain,required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/logs/diagnose_fire_canonical_optim_bfgs.txt,authoritative analytical output,No,No,No,Yes,Yes,Yes,retain,required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/provenance/input_provenance.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/provenance/sessionInfo.txt,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/best_diagnostic_candidate_optimizer.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/bootstrap_failure_reasons.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/bootstrap_profile_contrasts_finite.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/bootstrap_profile_contrasts_strict.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/bootstrap_replicate_diagnostics.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/episode_influence_summary.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/governance_profile_robustness_summary.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/governance_transition_review_sheet.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/governance_transitions.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/leave_one_episode_out_fit_diagnostics.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/leave_one_episode_out_pairwise_differences.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/leave_one_episode_out_profile_contrasts.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/optimizer_coefficient_comparison.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/optimizer_fit_diagnostics.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/optimizer_profile_contrast_comparison.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/optimizer_stability_summary.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/phase1_point_estimate_reproduction.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/profile_episode_support_corrected.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/profile_model_support_corrected.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/sesu_between_landscape_differences.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/sesu_heterogeneity_fit_diagnostics.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/sesu_specific_profile_contrasts.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/sesu_year_inside_outside_contrasts.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/transition_sensitivity_fit_diagnostics.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/transition_sensitivity_pairwise_differences.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
analysis_governance_profiles_robustness_dev/tables/transition_sensitivity_profile_contrasts.csv,authoritative analytical output,Yes,No,No,Yes,Yes,Yes,retain,referenced by active code; required for regeneration or validation; retains unique scientific or environment provenance
