Path,Action,Destination,Reason,Verification
outputs/publication/Manuscript.docx,rename,outputs/publication/manuscript/Chapter1_manuscript_final.docx,Canonical publication-facing name and logical location.,Destination exists and is tracked in the final repository.
outputs/publication/Supplementary_Material.docx,rename,outputs/publication/supplement/Chapter1_Supplementary_Material_final.docx,Canonical publication-facing name and logical location.,Destination exists and is tracked in the final repository.
outputs/publication/main_figures/fig 1.png,rename,outputs/publication/main_figures/Figure_1_study_design.png,Canonical publication-facing name and logical location.,Destination exists and is tracked in the final repository.
outputs/publication/main_figures/figures.pptx,rename,outputs/publication/figure_sources/Figures_1_2_editable_source.pptx,Canonical publication-facing name and logical location.,Destination exists and is tracked in the final repository.
scripts/publication/08_generate_figure2_old_style.R,rename,scripts/publication/08_generate_figure2_chronology_time_series.R,Canonical publication-facing name and logical location.,Destination exists and is tracked in the final repository.
candidate_file_manifest.csv,delete,,Superseded candidate-era inventory replaced by the final retention manifest.,"No active script, document, manifest, validation, or provenance dependency."
outputs/publication/main_figures/fig 2.png,delete,,Obsolete chronology-only manual export superseded by the script-generated final Figure 2.,"No active script, document, manifest, validation, or provenance dependency."
outputs/publication/main_figures/Figure_2_chronology_time_series_old_style_candidate_pubqual.png,delete,,Obsolete candidate output superseded by the canonical final Figure 2.,"No active script, document, manifest, validation, or provenance dependency."
outputs/publication/figure_source_data/Figure_2_chronology_time_series_old_style_candidate_source_data.csv,delete,,Duplicate candidate source data superseded by the two canonical Figure 2 source-data files.,"No active script, document, manifest, validation, or provenance dependency."
outputs/publication/figure_source_data/Figure_2_chronology_time_series_old_style_candidate_pubqual_source_data.csv,delete,,Duplicate candidate source data superseded by the two canonical Figure 2 source-data files.,"No active script, document, manifest, validation, or provenance dependency."
reports/publication_outputs/event_total_validation.csv,delete,,Ambiguous validation filename and broken source path superseded by Figure_2_event_total_validation.csv.,"No active script, document, manifest, validation, or provenance dependency."
reports/publication_outputs/Figure_2_chronology_time_series_old_style_candidate_event_total_validation.csv,delete,,Obsolete candidate validation superseded by Figure_2_event_total_validation.csv.,"No active script, document, manifest, validation, or provenance dependency."
reports/publication_outputs/Figure_2_chronology_time_series_old_style_candidate_pubqual_event_total_validation.csv,delete,,Obsolete candidate validation superseded by Figure_2_event_total_validation.csv.,"No active script, document, manifest, validation, or provenance dependency."
reports/publication_outputs/Figure_2_chronology_time_series_old_style_candidate_validation.txt,delete,,Obsolete candidate validation superseded by Figure_2_validation.txt.,"No active script, document, manifest, validation, or provenance dependency."
reports/publication_outputs/Figure_2_chronology_time_series_old_style_candidate_pubqual_validation.txt,delete,,Obsolete candidate validation superseded by Figure_2_validation.txt.,"No active script, document, manifest, validation, or provenance dependency."
