Scientific component,Selected source path,Selected SHA-256,Rejected or archived alternatives,Authority rationale,Validation result
analysis configuration,config/analysis_config.R,7701393e85fa299f9f3227b410eb3dc511a3ceff11ff37e5b612b71ca2fee14a,Development copies retained in Chapter_1 or copied to quarantine when obsolete/duplicate.,"Canonical publication-facing copy selected based on active script references, final output naming, locked scientific decisions, and sanitized repository role.",selected path exists
territorial-control chronology,data/upemba_sesu_year_regimes.csv,ce25af39365c9838c6411d484f36ecf7d73c1b669857ea8c43a76cb540c7d8a2,Development copies retained in Chapter_1 or copied to quarantine when obsolete/duplicate.,"Canonical publication-facing copy selected based on active script references, final output naming, locked scientific decisions, and sanitized repository role.",selected path exists
primary model scripts,scripts/analysis/01_fit_governance_profile_models.R,0188c734ac31fbf55a1de925bdf8d08b302b09f3251fa472fa64cf233090fceb,Development copies retained in Chapter_1 or copied to quarantine when obsolete/duplicate.,"Canonical publication-facing copy selected based on active script references, final output naming, locked scientific decisions, and sanitized repository role.",selected path exists
robustness scripts,scripts/analysis/02_fit_sparse_outcomes_and_profile_robustness.R,ec4ad412d17a485e51b759bb5993d0db3379403d799c2b722abb151e1b5a5158,Development copies retained in Chapter_1 or copied to quarantine when obsolete/duplicate.,"Canonical publication-facing copy selected based on active script references, final output naming, locked scientific decisions, and sanitized repository role.",selected path exists
boundary-location scripts,scripts/sensitivity/03_run_revised_boundary_falsification.R,16d3f9fdeef8acada016e116665cdbc8dc94b2210956bf53a0e974adafc1bdfd,Development copies retained in Chapter_1 or copied to quarantine when obsolete/duplicate.,"Canonical publication-facing copy selected based on active script references, final output naming, locked scientific decisions, and sanitized repository role.",selected path exists
publication scripts,scripts/publication/07_generate_supplementary_material.R,1839a058e360e075adc69022edaaafc5c522b066c3060c1976d9c34315e44d37,Development copies retained in Chapter_1 or copied to quarantine when obsolete/duplicate.,"Canonical publication-facing copy selected based on active script references, final output naming, locked scientific decisions, and sanitized repository role.",selected path exists
main manuscript,outputs/publication/manuscript/Chapter1_manuscript_final.docx,60766f80f42c7127f44b86b04426ed97935be985a6b9e2ea7a13ab87771d351c,Development copies retained in Chapter_1 or copied to quarantine when obsolete/duplicate.,"Canonical publication-facing copy selected based on active script references, final output naming, locked scientific decisions, and sanitized repository role.",selected path exists
supplementary material,outputs/publication/supplement/Chapter1_Supplementary_Material_final.docx,6d611b11e0aea2912c8bc932ec30da1ff8c5e2f909322edb71739ed2c0909440,Development copies retained in Chapter_1 or copied to quarantine when obsolete/duplicate.,"Canonical publication-facing copy selected based on active script references, final output naming, locked scientific decisions, and sanitized repository role.",selected path exists
main figures,outputs/publication/main_figures,,Development copies retained in Chapter_1 or copied to quarantine when obsolete/duplicate.,"Canonical publication-facing copy selected based on active script references, final output naming, locked scientific decisions, and sanitized repository role.",selected path exists
supplementary figures,outputs/publication/supplement/figures,,Development copies retained in Chapter_1 or copied to quarantine when obsolete/duplicate.,"Canonical publication-facing copy selected based on active script references, final output naming, locked scientific decisions, and sanitized repository role.",selected path exists
main tables,outputs/publication/main_tables,,Development copies retained in Chapter_1 or copied to quarantine when obsolete/duplicate.,"Canonical publication-facing copy selected based on active script references, final output naming, locked scientific decisions, and sanitized repository role.",selected path exists
supplementary tables,outputs/publication/supplement/tables,,Development copies retained in Chapter_1 or copied to quarantine when obsolete/duplicate.,"Canonical publication-facing copy selected based on active script references, final output naming, locked scientific decisions, and sanitized repository role.",selected path exists
figure source data,outputs/publication/figure_source_data,,Development copies retained in Chapter_1 or copied to quarantine when obsolete/duplicate.,"Canonical publication-facing copy selected based on active script references, final output naming, locked scientific decisions, and sanitized repository role.",selected path exists
table source data,outputs/publication/table_source_data,,Development copies retained in Chapter_1 or copied to quarantine when obsolete/duplicate.,"Canonical publication-facing copy selected based on active script references, final output naming, locked scientific decisions, and sanitized repository role.",selected path exists
validation reports,reports/repository/final_validation.md,,Development copies retained in Chapter_1 or copied to quarantine when obsolete/duplicate.,"Canonical publication-facing copy selected based on active script references, final output naming, locked scientific decisions, and sanitized repository role.",path pending or directory component
