outcome,measurement_version,threshold,source_file,source_object_or_band,source_dataset,source_dataset_version,processing_script,script_commit_if_known,export_or_creation_date,study_year_start,study_year_end,native_resolution,target_resolution,target_crs,season_start_doy,season_end_doy,aggregation_method,threshold_denominator,threshold_rule,baseline_mask,missing_data_rule,no_event_value,risk_set_rule,provenance_status,notes
fire,canonical_embedded_tau025,0.25,run_2026_05_27/SESU_covariates_500m.tif,fireDOY_2001 through fireDOY_2022,FireCCI,partly unknown; Script 0 lists ESA/CCI/FireCCI/5_1,scripts/Script 0_data acquisition.txt; scripts/Script 1_Fire agri preprocessing.R; scripts/Script 2_SESU clustering.R,unknown,run stack written 2026-04-20; Script 3 surfaces updated 2026-05-26,2001,2022,unknown native FireCCI grid,500 m,EPSG:32735,100,300,2001-2020 earliest seasonal DOY/min-positive at 500 m; 2021-2022 local max-DOY helper documented in Script 1,uncertain,seasonal burned fraction >= 0.25 then DOY 100-300 classified as event,AOI and non-water land mask in Script 2,0/NA treated as no annual fire event,0 or nonseasonal DOY,annual binary cell-year outcome,partial,"Canonical analytical reference reproduces exactly from embedded run stack; exact GEE revision/export settings not recovered locally."
tree_cover_loss,canonical_embedded_tau025,0.25,run_2026_05_27/SESU_covariates_500m.tif,year_deforest_masked,GFC,Script 0 lists UMD/hansen/global_forest_change_2024_v1_12,scripts/Script 0_data acquisition.txt; scripts/Script 2_SESU clustering.R,unknown,run stack written 2026-04-20,2001,2022,30 m native GFC,500 m,EPSG:32735,NA,NA,cumulative native loss binary reduced by mean to 500 m; first year fraction >= tau,complete 500 m cell native subpixels,cumulative loss fraction >= 0.25,Script 2 masks exported year raster to gfc_treecover2000_meanpct_500m >= 30,0 is no threshold crossing; NA outside AOI/land/mask,0,post-event risk-set exclusion; no-event cells remain at risk,partial,"Script 0 export sets MASK_DEFOREST_TO_FOREST2000=false; canonical masking happens in Script 2."
agriculture,canonical_embedded_tau025,0.25,run_2026_05_27/SESU_covariates_500m.tif,year_agri,AFCD,unknown,scripts/Script 1_Fire agri preprocessing.R; scripts/Script 2_SESU clustering.R,unknown,run stack written 2026-04-20; tau025 cached product 2026-02-10/2026-06-23 copy,2001,2022,AFCD native grid,500 m,EPSG:32735,NA,NA,binary annual presence projected by average to 500 m; first absent-to-present threshold crossing,complete 500 m target cell after AOI/land mask,presence fraction >= 0.25 and previous year below threshold,AOI and non-water land mask,NA is no event/outside mask,NA,post-event risk-set exclusion; no-event cells remain at risk,partial,"Canonical and standalone tau025 agriculture products are identical after Phase 3 audit."
fire,standalone_tau010,0.10,data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif; data/fire_precomputed_500m/fireBurned_AprOct_2021_500m_tau010.tif; data/fire_precomputed_500m/fireBurned_AprOct_2022_500m_tau010.tif,2001-2020 *_fire_season_* bands; 2021-2022 binary burned rasters,FireCCI,partly unknown; Script 0 lists ESA/CCI/FireCCI/5_1,scripts/Script 0_data acquisition.txt; threshold-specific local products generated 2026-06-23,def9462 or local post-Phase3 state,2026-06-23,2001,2022,unknown native FireCCI grid,500 m,EPSG:32735,100,300,thresholded binary seasonal burned fraction at 500 m,uncertain,seasonal burned fraction >= 0.10,AOI/grid product mask from export/local processing,0/NA no annual event,0,annual binary cell-year outcome,partial,"Standalone threshold series; exact GEE script revision/export task history not recovered locally."
fire,standalone_tau025,0.25,data/tau_var/FireCCI51_season_DOYmin_tau025_and_binary_2001_2020_500m_epsg32735.tif; data/fire_precomputed_500m/fireBurned_AprOct_2021_500m_tau025.tif; data/fire_precomputed_500m/fireBurned_AprOct_2022_500m_tau025.tif,2001-2020 *_fire_season_* bands; 2021-2022 binary burned rasters,FireCCI,partly unknown; Script 0 lists ESA/CCI/FireCCI/5_1,scripts/Script 0_data acquisition.txt; threshold-specific local products generated 2026-06-23,def9462 or local post-Phase3 state,2026-06-23,2001,2022,unknown native FireCCI grid,500 m,EPSG:32735,100,300,thresholded binary seasonal burned fraction at 500 m,uncertain,seasonal burned fraction >= 0.25,AOI/grid product mask from export/local processing,0/NA no annual event,0,annual binary cell-year outcome,partial,"Standalone tau025 has 28196 more events than canonical embedded tau025 in Phase 3 audit."
fire,standalone_tau050,0.50,data/tau_var/FireCCI51_season_DOYmin_tau050_and_binary_2001_2020_500m_epsg32735.tif; data/fire_precomputed_500m/fireBurned_AprOct_2021_500m_tau050.tif; data/fire_precomputed_500m/fireBurned_AprOct_2022_500m_tau050.tif,2001-2020 *_fire_season_* bands; 2021-2022 binary burned rasters,FireCCI,partly unknown; Script 0 lists ESA/CCI/FireCCI/5_1,scripts/Script 0_data acquisition.txt; threshold-specific local products generated 2026-06-23,def9462 or local post-Phase3 state,2026-06-23,2001,2022,unknown native FireCCI grid,500 m,EPSG:32735,100,300,thresholded binary seasonal burned fraction at 500 m,uncertain,seasonal burned fraction >= 0.50,AOI/grid product mask from export/local processing,0/NA no annual event,0,annual binary cell-year outcome,partial,"Standalone threshold series; exact GEE script revision/export task history not recovered locally."
tree_cover_loss,standalone_tau010,0.10,data/tau_var/gfc_year_deforest_majority_tau010_500m_epsg32735.tif,year_deforest_majority_tau,GFC,Script 0 lists UMD/hansen/global_forest_change_2024_v1_12,scripts/Script 0_data acquisition.txt; threshold-specific local products generated 2026-06-23,def9462 or local post-Phase3 state,2026-06-23,2001,2022,30 m native GFC,500 m,EPSG:32735,NA,NA,cumulative native loss binary reduced by mean to 500 m; first year fraction >= tau,complete 500 m cell native subpixels,cumulative loss fraction >= 0.10,canonical 30% treecover2000 baseline mask applied in scripts/08_measurement_harmonization.R,0 no threshold crossing; NA outside mask,0,post-event risk-set exclusion; no-event cells remain at risk,partial,"Standalone threshold series harmonized by applying the same canonical 30% baseline forest mask after grid validation."
tree_cover_loss,standalone_tau025,0.25,data/tau_var/gfc_year_deforest_majority_tau025_500m_epsg32735.tif,year_deforest_majority_tau,GFC,Script 0 lists UMD/hansen/global_forest_change_2024_v1_12,scripts/Script 0_data acquisition.txt; threshold-specific local products generated 2026-06-23,def9462 or local post-Phase3 state,2026-06-23,2001,2022,30 m native GFC,500 m,EPSG:32735,NA,NA,cumulative native loss binary reduced by mean to 500 m; first year fraction >= tau,complete 500 m cell native subpixels,cumulative loss fraction >= 0.25,canonical 30% treecover2000 baseline mask applied in scripts/08_measurement_harmonization.R,0 no threshold crossing; NA outside mask,0,post-event risk-set exclusion; no-event cells remain at risk,partial,"Standalone tau025 differs from canonical embedded year_deforest_masked; harmonization applies canonical forest mask but does not assert identical source processing."
tree_cover_loss,standalone_tau050,0.50,data/tau_var/gfc_year_deforest_majority_tau050_500m_epsg32735.tif,year_deforest_majority_tau,GFC,Script 0 lists UMD/hansen/global_forest_change_2024_v1_12,scripts/Script 0_data acquisition.txt; threshold-specific local products generated 2026-06-23,def9462 or local post-Phase3 state,2026-06-23,2001,2022,30 m native GFC,500 m,EPSG:32735,NA,NA,cumulative native loss binary reduced by mean to 500 m; first year fraction >= tau,complete 500 m cell native subpixels,cumulative loss fraction >= 0.50,canonical 30% treecover2000 baseline mask applied in scripts/08_measurement_harmonization.R,0 no threshold crossing; NA outside mask,0,post-event risk-set exclusion; no-event cells remain at risk,partial,"Standalone threshold series harmonized by applying the same canonical 30% baseline forest mask after grid validation."
agriculture,standalone_tau010,0.10,data/agri_precomputed_500m/year_agri_500m_tau010_2001_2022.tif,year_agri,AFCD,unknown,scripts/Script 1_Fire agri preprocessing.R; threshold-specific local products generated 2026-06-23,def9462 or local post-Phase3 state,2026-06-23,2001,2022,AFCD native grid,500 m,EPSG:32735,NA,NA,binary annual presence projected by average to 500 m; first absent-to-present threshold crossing,complete 500 m target cell after AOI/land mask,presence fraction >= 0.10 and previous year below threshold,AOI and non-water land mask,NA no event/outside mask,NA,post-event risk-set exclusion; no-event cells remain at risk,partial,"Standalone agriculture threshold series appears internally consistent from current local products."
